"product_title","location","account_seller","price","review","installment","rating","brand_hp"
"Iphone 7 128gb garansi distributor 1 tahun","Jakarta","CNKcell",4099000,168,170792,4.8,"apple"
"SHARP AQUOS XX3 506SH SOFTBANK 3/32GB - SECOND ORIGINAL","Jakarta","NN Cellular",815000,131,33959,4.6,"sharp"
"Hp Android Terbaru Merk Prince PC9 Lengkap Murah Ram 2GB 4G","Bandar Lampung","JRTOKO",1e+06,100,41667,5,"lain-lain"
"Iphone 7 32gb Bekas Fullset","Jakarta","Boboy Store",3300000,131,137500,4.8,"apple"
"XIAOMI REDMI 6A - GARANSI RESMI TAM","Magelang","vickersson",1205000,210,50209,4.9,"xiaomi"
"Samsung Galaxy Note 9 Ram 6GB 128GB Original New","Batam","Wendy OLS",8770000,92,365417,4.9,"samsung"
"Oppo A7 Garansi Resmi","Jakarta","VodaPGC",2699000,131,112459,5,"oppo"
"XIAOMI Mi A2 LTE TAM Mi A2 4GB 64GB XIOMI","Jakarta","Zirah Shop",3675000,208,153125,5,"xiaomi"
"Xiaomi redmi 6A 16GB 2GB garansi resmi TAM","Cirebon","yuconline",1186000,137,49417,4.9,"xiaomi"
"SONY XPERIA Z4 BIG RAM 3-32 GB SECOND","Jakarta","PLATINUM SM",729000,100,30375,4.5,"sony"
"HP Oppo F9 4/64 F9 RAM 4GB ROM 64GB, resmi Alter Vivo V11 Pocophone F1","Medan","Bigtoes Men Shoes",5e+06,117,208334,5,"xiaomi"
"Samsung Galaxy A10 Smartphone 32GB/ 2GB - Black [Garansi Resmi]","Jakarta","KartuPerdana",1487000,51,61959,4.9,"samsung"
"Xiaomi Redmi Note 5 Pro Ram 3GB/32GB Resmi TAM","Jakarta","akoy.login",2150000,219,89584,5,"xiaomi"
"Xiaomi Redmi 6A ram 2gb Internal 16gb TAM","Kab. Pati","MIUI LOVER",1212000,219,50500,4.9,"xiaomi"
"Xiaomi redmi 6A garansi TAM segel no repacking","Kab. Sleman","Natalia Grosir",1195000,143,49792,5,"xiaomi"
"Xiaomi Redmi 6A Resmi Tam No repack","Jakarta","vanilla mobile new",1195000,95,49792,4.9,"xiaomi"
"Xiaomi Redmi Go Ram 1GB/8GB Resmi TAM","Jakarta","akoy.login",990000,132,41250,4.9,"xiaomi"
"Xiomi Redmi 6A Baru Garansi Resmi TAM","Kab. Malang","Techesia",1190000,105,49584,5,"xiaomi"
"Redmi 6A TAM 16GB bukan repacking","Jakarta","Thulz mobile",1182400,111,49267,5,"xiaomi"
"Redmi 6a Ram 2/16 Tam","Kab. Sidoarjo","Bina Mandiri Family",1190000,94,49584,5,"xiaomi"
"GROSIR SAMSUNG GALAXY J2 PRIME NEW BNIB ORIGINAL GARANSI RESMI SEIN","Kab. Klaten","Centra Grosir City",1114000,205,46417,3.9,"samsung"
"iPhone 7 32GB second Garansi apple masih aktif","Surabaya","Tara Phone",3900000,140,162500,4.8,"apple"
"xiaomi Redmi 6A TAM","Bandung","CELLSTAR",1182000,81,49250,4.9,"xiaomi"
"Xiaomi Redmi 6 3/32 RAM 3GB ROM 32GB GARANSI RESMI TAM","Jakarta","Supplier Sparepart HP",1450000,73,60417,4.9,"xiaomi"
"Xiaomi Redmi 6A 2GB/16GB TAM","Malang","The Muliawan",1205000,121,50209,5,"xiaomi"
